"Start.date","SI"
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,0
2011-04-09,1
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-04-19,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,0
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-03,1
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,0
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-17,1
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,0
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
2011-05-31,1
